参数组合,累计收益率,夏普比率,最大回撤,胜率,盈亏比,交易次数
MA5/MA20,166.78%,0.59,-47.53%,35.56%,1.79,45
MA10/MA30,113.63%,0.47,-45.54%,40.00%,1.60,30
MA5/MA60,226.68%,0.68,-55.69%,25.00%,1.48,20
MA10/MA60,268.03%,0.74,-58.65%,31.25%,1.52,16
MA20/MA60,298.31%,0.78,-54.22%,33.33%,1.76,12
