参数组合,累计收益率,夏普比率,最大回撤,胜率,盈亏比,交易次数
MA5/MA20,-9.26%,-0.12,-59.57%,32.56%,0.98,43
MA10/MA30,5.49%,0.00,-39.64%,37.93%,1.11,29
MA5/MA60,10.91%,0.05,-48.50%,23.08%,1.11,26
MA10/MA60,4.15%,-0.00,-52.52%,25.00%,1.04,20
MA20/MA60,9.23%,0.04,-51.77%,35.29%,1.11,17
