参数组合,累计收益率,夏普比率,最大回撤,胜率,盈亏比,交易次数
MA5/MA20,-19.33%,-0.24,-48.69%,30.95%,0.73,42
MA10/MA30,1.25%,-0.04,-38.84%,30.77%,0.90,26
MA5/MA60,-21.96%,-0.27,-52.59%,22.22%,0.50,27
MA10/MA60,-6.99%,-0.12,-45.91%,38.89%,0.64,18
MA20/MA60,-24.77%,-0.33,-55.36%,33.33%,0.44,15
