参数组合,累计收益率,夏普比率,最大回撤,胜率,盈亏比,交易次数
MA5/MA20,-2.42%,-0.19,-24.78%,36.17%,1.09,47
MA10/MA30,24.04%,0.12,-17.04%,46.43%,1.86,28
MA5/MA60,-0.41%,-0.14,-32.78%,38.46%,1.09,26
MA10/MA60,5.93%,-0.07,-26.29%,50.00%,1.35,18
MA20/MA60,0.82%,-0.13,-30.32%,38.89%,1.12,18
