参数组合,累计收益率,夏普比率,最大回撤,胜率,盈亏比,交易次数
MA5/MA20,29.49%,0.17,-31.26%,35.90%,1.40,39
MA10/MA30,-27.25%,-0.34,-40.97%,40.00%,0.67,30
MA5/MA60,23.77%,0.13,-27.70%,30.43%,1.54,23
MA10/MA60,4.51%,-0.01,-35.99%,33.33%,1.13,21
MA20/MA60,10.04%,0.03,-41.90%,38.46%,1.21,13
