参数组合,累计收益率,夏普比率,最大回撤,胜率,盈亏比,交易次数
MA5/MA20,15.38%,0.07,-40.33%,32.61%,1.20,46
MA10/MA30,7.32%,0.00,-40.47%,26.92%,1.12,26
MA5/MA60,25.35%,0.14,-37.39%,39.13%,1.56,23
MA10/MA60,20.87%,0.11,-41.15%,33.33%,1.53,18
MA20/MA60,36.36%,0.22,-39.68%,50.00%,1.76,14
