参数组合,累计收益率,夏普比率,最大回撤,胜率,盈亏比,交易次数
MA5/MA20,-2.66%,-0.43,-12.13%,37.50%,0.79,8
MA10/MA30,-6.68%,-0.74,-15.77%,20.00%,0.52,5
MA5/MA60,-6.11%,-0.99,-9.78%,0.00%,0.00,4
MA10/MA60,-8.70%,-1.30,-12.31%,0.00%,0.00,4
MA20/MA60,-4.40%,-0.75,-10.67%,50.00%,0.20,2
