参数组合,累计收益率,夏普比率,最大回撤,胜率,盈亏比,交易次数
MA5/MA20,-44.24%,-0.59,-54.98%,34.09%,0.50,44
MA10/MA30,-28.24%,-0.38,-41.93%,30.00%,0.63,30
MA5/MA60,-14.56%,-0.21,-31.79%,19.05%,0.77,21
MA10/MA60,-23.00%,-0.31,-37.94%,26.67%,0.56,15
MA20/MA60,-40.43%,-0.55,-49.23%,21.43%,0.38,14
