参数组合,累计收益率,夏普比率,最大回撤,胜率,盈亏比,交易次数
MA5/MA20,15.02%,0.20,-73.16%,33.33%,1.08,45
MA10/MA30,169.46%,0.57,-65.54%,35.48%,1.47,31
MA5/MA60,425.44%,0.91,-28.92%,57.14%,5.11,14
MA10/MA60,331.80%,0.81,-31.28%,61.54%,5.91,13
MA20/MA60,357.50%,0.84,-30.59%,63.64%,7.79,11
