参数组合,累计收益率,夏普比率,最大回撤,胜率,盈亏比,交易次数
MA5/MA20,28.77%,0.18,-37.63%,35.90%,1.24,39
MA10/MA30,13.30%,0.08,-43.21%,33.33%,1.11,24
MA5/MA60,41.04%,0.24,-46.19%,35.00%,1.40,20
MA10/MA60,56.09%,0.32,-41.94%,38.46%,1.67,13
MA20/MA60,33.65%,0.20,-49.88%,18.18%,1.43,11
